County,Voters,M_18_24,M_25_34,M_35_44,M_45_64,M_67,F_18_24,F_25_34,F_35_44,F_45_64,F_67
AB,1642,21,40,66,124,65,27,55,64,127,77
AB,1023,21,15,42,67,49,10,22,39,79,46
AB,1368,19,29,54,88,42,15,31,57,106,45
AB,1301,20,30,47,97,62,14,33,45,98,69
AB,950,12,20,37,64,39,13,28,40,79,44
AB,635,7,13,20,55,24,6,17,33,50,23
AB,1392,17,29,64,116,50,17,25,71,117,62
AB,1017,10,26,37,62,60,12,17,27,79,63
AB,1617,27,30,82,138,62,27,45,88,126,50
AB,1433,11,26,36,83,55,8,22,43,102,57
AB,991,12,12,41,46,17,10,18,35,56,32
AB,1198,5,25,33,75,24,11,24,42,80,24
AB,1011,13,16,24,64,29,13,14,29,84,40
AB,1143,13,16,49,66,39,15,23,33,75,36
AB,1362,16,31,40,69,43,13,35,43,98,35
AB,1342,10,28,48,92,48,10,27,53,103,54
AB,910,7,13,32,48,25,11,16,34,61,36
AB,873,10,20,36,57,23,15,21,28,62,35
AB,1258,15,29,38,63,43,7,30,33,88,29
AB,1051,8,16,43,49,62,15,16,47,78,58
AB,1067,12,25,33,58,57,8,22,38,73,77
AB,1226,18,33,49,81,54,8,34,41,110,46
AB,1678,20,40,91,119,50,20,43,73,134,41
AB,1090,16,22,37,65,41,6,35,43,82,44
AB,1219,13,28,43,83,49,14,17,60,112,53
AB,1376,9,25,67,66,41,14,32,74,88,43
AB,1373,16,35,71,78,53,18,33,68,107,42
AB,1395,21,39,48,91,51,9,26,54,112,70
AB,1071,9,24,38,55,33,12,30,39,80,44
AB,1152,12,26,45,73,40,9,22,39,78,40
AB,1386,9,35,49,89,19,19,35,48,112,17
AB,1381,7,37,61,110,36,12,48,61,103,31
AB,1786,25,50,59,118,31,25,64,69,129,26
AB,1524,21,53,36,105,31,25,41,51,123,34
AB,1396,15,37,73,87,38,15,47,69,96,55
AB,880,6,33,27,62,14,8,27,30,67,11
AB,1630,14,36,45,105,30,14,46,51,134,24
AB,1510,19,52,59,119,21,15,62,63,114,14
AB,1581,25,43,53,108,26,16,32,41,110,18
AB,1363,18,29,42,87,20,16,42,49,101,12
AB,1961,25,48,123,160,52,37,69,133,185,40
AB,834,15,25,37,73,30,12,11,36,75,36
AB,1108,20,21,50,98,70,10,28,58,98,51
AB,1006,12,21,33,69,27,7,25,33,68,16
AB,1256,16,41,48,98,47,23,36,43,105,46
AB,1144,27,29,66,111,30,18,38,70,90,23
AB,1257,20,35,55,109,50,21,36,57,104,48
AB,1290,23,25,51,102,57,25,30,55,93,52
AB,716,19,18,21,61,21,17,19,21,70,22
AB,864,12,22,26,55,37,11,23,24,59,31
AB,1390,17,30,38,111,54,11,36,44,123,52
AB,1002,10,21,20,70,39,14,17,27,78,32
AB,1183,13,29,38,101,40,13,35,30,91,48
AB,936,12,20,28,73,42,14,23,27,90,31
AB,1066,21,41,24,104,48,18,33,30,96,42
AB,1278,18,34,37,102,47,23,24,52,87,44
AB,1237,17,21,36,98,41,9,24,33,94,48
AB,1187,21,26,41,91,41,16,31,36,92,48
AB,1124,15,16,47,69,51,20,21,56,84,54
AB,1293,13,20,46,84,73,19,29,54,102,71
AB,1412,15,44,49,112,56,28,45,52,121,47
AB,793,10,20,37,53,28,4,30,32,71,26
AB,709,11,15,32,49,25,9,16,23,74,33
AB,1458,24,42,55,126,62,27,38,59,131,70
AB,902,11,21,32,66,29,25,22,26,61,28
AB,1112,26,29,48,80,28,11,27,47,79,34
AB,1067,23,20,44,99,33,33,27,43,88,37
AB,410,7,7,17,38,10,10,10,20,27,14
AB,410,9,9,14,36,19,7,7,15,30,11
AB,215,5,5,10,15,17,3,5,8,18,12
AB,96,2,4,4,10,10,3,1,1,8,6
AB,462,11,16,19,50,28,8,8,12,51,23
AB,84,2,5,4,11,4,2,3,4,9,4
AB,569,10,20,14,48,31,8,12,18,49,31
AB,1012,15,26,39,88,31,12,31,36,95,29
AB,609,7,16,25,37,39,6,13,20,59,37
AB,695,22,32,41,59,10,25,35,44,60,9
AB,1224,17,26,43,83,50,16,24,42,105,65
AB,1197,15,20,36,74,53,20,13,34,94,81
AB,807,13,12,32,63,46,6,15,32,63,68
AB,641,9,12,26,51,44,13,13,25,45,45
AB,500,13,6,17,40,26,9,9,15,50,36
AB,344,10,22,14,40,11,5,8,15,35,5
AB,1443,21,27,48,145,77,17,36,47,137,88
AB,1346,8,24,35,111,72,16,25,51,109,78
AB,1608,29,41,46,133,72,28,43,50,150,79
AB,1504,37,44,64,109,37,35,61,66,103,51
AB,1308,30,25,40,103,55,16,27,45,113,62
AB,881,20,34,39,95,35,18,32,23,83,48
AB,472,10,12,19,51,31,9,16,27,51,28
AB,1283,23,24,41,116,87,18,35,40,115,86
AB,1645,23,50,67,129,86,28,44,61,149,82
AB,1436,45,95,70,111,24,50,98,59,96,20
AB,1614,22,49,68,123,60,14,53,88,138,66
AB,1053,27,39,55,105,32,25,27,35,92,43
AB,993,22,24,41,71,31,15,29,26,87,40
AB,1511,23,43,65,109,53,18,37,41,152,70
AB,1473,16,38,54,116,74,16,32,57,124,79
